:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,33549,9922,mmu,repression;indirect effect,#2423:5581,GErel
KEGG_DECREASES_EXPRESSION,37567,14054,mmu,repression,#2431:7717,GErel
KEGG_DECREASES_EXPRESSION,16833,18463,rno,repression,#2415:9720,GErel
KEGG_DECREASES_EXPRESSION,44325,18511,rno,repression;indirect effect,#2427:11723,GErel
KEGG_DECREASES_EXPRESSION,16658,5508,rno,repression,#2436:9720,GErel
KEGG_DECREASES_EXPRESSION,42820,18221,hsa,repression,#2414:1851,GErel
KEGG_DECREASES_EXPRESSION,30785,2789,hsa,repression,#2422:1484,GErel
KEGG_DECREASES_EXPRESSION,33561,20676,hsa,repression,#2435:1447,GErel
KEGG_DECREASES_EXPRESSION,25588,2809,mmu,repression,#2416:5546,GErel
KEGG_DECREASES_EXPRESSION,29380,18044,mmu,repression,#2423:5582,GErel
KEGG_DECREASES_EXPRESSION,16671,18343,mmu,repression,#2432:5546,GErel
KEGG_DECREASES_EXPRESSION,16658,20503,rno,repression,#2416:9720,GErel
KEGG_DECREASES_EXPRESSION,7789,5576,rno,repression,#2427:12159,GErel
KEGG_DECREASES_EXPRESSION,35442,5871,rno,repression;indirect effect,#2436:9755,GErel
KEGG_DECREASES_EXPRESSION,31078,5892,hsa,repression,#2414:2575,GErel
KEGG_DECREASES_EXPRESSION,28961,9871,hsa,repression,#2422:2502,GErel
KEGG_DECREASES_EXPRESSION,16835,2844,hsa,repression,#2435:2552,GErel
KEGG_DECREASES_EXPRESSION,43255,5701,mmu,repression,#2416:6147,GErel
KEGG_DECREASES_EXPRESSION,25160,23581,mmu,repression,#2423:7153,GErel
KEGG_DECREASES_EXPRESSION,37567,10099,mmu,repression,#2432:7717,GErel
KEGG_DECREASES_EXPRESSION,25576,20503,rno,repression,#2417:9720,GErel
KEGG_DECREASES_EXPRESSION,11410,9854,rno,repression,#2428:9621,GErel
KEGG_DECREASES_EXPRESSION,42039,18526,rno,repression,#2436:9756,GErel
KEGG_DECREASES_EXPRESSION,7681,20656,hsa,repression,#2415:1447,GErel
KEGG_DECREASES_EXPRESSION,25376,13879,hsa,repression,#2423:1357,GErel
KEGG_DECREASES_EXPRESSION,3456,10281,hsa,repression,#2435:3068,GErel
KEGG_DECREASES_EXPRESSION,25160,5786,mmu,repression,#2416:7153,GErel
KEGG_DECREASES_EXPRESSION,34881,5957,mmu,repression,#2423:7175,GErel
KEGG_DECREASES_EXPRESSION,16671,13932,mmu,repression,#2433:5545,GErel
KEGG_DECREASES_EXPRESSION,44325,5794,rno,repression,#2417:11426,GErel
KEGG_DECREASES_EXPRESSION,39145,5871,rno,repression;indirect effect,#2428:9755,GErel
KEGG_DECREASES_EXPRESSION,40303,20395,rno,repression,#2436:9786,GErel
KEGG_DECREASES_EXPRESSION,11243,23604,hsa,repression,#2415:1483,GErel
KEGG_DECREASES_EXPRESSION,7681,18051,hsa,repression,#2423:1448,GErel
KEGG_DECREASES_EXPRESSION,30628,5616,hsa,repression,#2436:1447,GErel
KEGG_DECREASES_EXPRESSION,42897,13664,mmu,repression,#2417:5342,GErel
KEGG_DECREASES_EXPRESSION,33549,13974,mmu,repression;indirect effect,#2424:5581,GErel
KEGG_DECREASES_EXPRESSION,37567,2949,mmu,repression,#2433:7717,GErel
KEGG_DECREASES_EXPRESSION,16833,20503,rno,repression,#2418:9720,GErel
KEGG_DECREASES_EXPRESSION,21118,10023,rno,repression,#2428:11559,GErel
KEGG_DECREASES_EXPRESSION,34561,10236,rno,repression,#2436:11633,GErel
KEGG_DECREASES_EXPRESSION,33694,18096,hsa,repression;indirect effect,#2415:1484,GErel
KEGG_DECREASES_EXPRESSION,40473,18096,hsa,repression;indirect effect,#2423:1483,GErel
KEGG_DECREASES_EXPRESSION,35639,10281,hsa,repression,#2436:3068,GErel
KEGG_DECREASES_EXPRESSION,16671,18528,mmu,repression,#2417:5546,GErel
KEGG_DECREASES_EXPRESSION,29380,5799,mmu,repression,#2424:5582,GErel
KEGG_DECREASES_EXPRESSION,16671,2819,mmu,repression,#2434:5545,GErel
KEGG_DECREASES_EXPRESSION,42396,23576,rno,repression,#2418:11586,GErel
KEGG_DECREASES_EXPRESSION,32217,5576,rno,repression,#2428:12158,GErel
KEGG_DECREASES_EXPRESSION,16658,23643,rno,repression,#2437:9719,GErel
KEGG_DECREASES_EXPRESSION,39655,5487,hsa,repression,#2415:1485,GErel
KEGG_DECREASES_EXPRESSION,30785,23595,hsa,repression,#2423:1484,GErel
KEGG_DECREASES_EXPRESSION,30628,20676,hsa,repression,#2437:1447,GErel
KEGG_DECREASES_EXPRESSION,37388,9922,mmu,repression;indirect effect,#2417:5581,GErel
KEGG_DECREASES_EXPRESSION,34881,2761,mmu,repression,#2424:7175,GErel
KEGG_DECREASES_EXPRESSION,37567,23546,mmu,repression,#2434:7717,GErel
KEGG_DECREASES_EXPRESSION,16658,10042,rno,repression,#2419:9720,GErel
KEGG_DECREASES_EXPRESSION,39145,13996,rno,repression;indirect effect,#2429:9755,GErel
KEGG_DECREASES_EXPRESSION,35442,13996,rno,repression;indirect effect,#2437:9755,GErel
KEGG_DECREASES_EXPRESSION,41349,13699,hsa,repression,#2415:1855,GErel
KEGG_DECREASES_EXPRESSION,40878,9871,hsa,repression,#2423:2502,GErel
KEGG_DECREASES_EXPRESSION,35639,10055,hsa,repression,#2437:3068,GErel
KEGG_DECREASES_EXPRESSION,43255,13734,mmu,repression,#2417:6147,GErel
KEGG_DECREASES_EXPRESSION,34703,9922,mmu,repression;indirect effect,#2425:5580,GErel
KEGG_DECREASES_EXPRESSION,7715,18343,mmu,repression,#2435:5545,GErel
KEGG_DECREASES_EXPRESSION,44208,20222,rno,repression,#2419:11504,GErel
KEGG_DECREASES_EXPRESSION,33348,10015,rno,repression,#2429:9966,GErel
KEGG_DECREASES_EXPRESSION,42039,20675,rno,repression,#2437:9756,GErel
KEGG_DECREASES_EXPRESSION,31078,13754,hsa,repression,#2415:2575,GErel
KEGG_DECREASES_EXPRESSION,7681,10028,hsa,repression,#2424:1448,GErel
KEGG_DECREASES_EXPRESSION,7681,18094,hsa,repression,#2438:1447,GErel
