:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
26742,Composite,"composite(p(HGNC:""MAGI1""),p(HGNC:""MAGI2""),p(HGNC:""MAGI3""))",MAGI1;MAGI3;MAGI2,,9606.0
26743,Composite,"composite(p(MGI:""Gusb""),p(MGI:""Kl""))",Kl;Gusb,,10090.0
26744,Composite,"composite(p(FLYBASE:""eIF2Balpha""),p(FLYBASE:""eIF2Bbeta""),p(FLYBASE:""eIF2Bdelta""),p(FLYBASE:""eIF2Bepsilon""),p(FLYBASE:""eIF2Bgamma""))",eIF2Bdelta;eIF2Bgamma;eIF2Balpha;eIF2Bbeta;eIF2Bepsilon,,7227.0
26745,Composite,"composite(p(MGI:""Pfkfb1""),p(MGI:""Pfkfb2""),p(MGI:""Pfkfb3""),p(MGI:""Pfkfb4""))",Pfkfb4;Pfkfb3;Pfkfb2;Pfkfb1,,10090.0
26746,Composite,"composite(p(HGNC:""GCK""),p(HGNC:""HK1""),p(HGNC:""HK2""),p(HGNC:""HK3""),p(HGNC:""HKDC1""))",HK3;HKDC1;GCK;HK2;HK1,,9606.0
26747,Composite,"composite(p(MGI:""Rras""),p(MGI:""Rras2""))",Rras;Rras2,,10090.0
26748,Composite,"composite(p(HGNC:""CNTF""),p(HGNC:""CSF3""),p(HGNC:""CSH1""),p(HGNC:""CSH2""),p(HGNC:""EPO""),p(HGNC:""GH1""),p(HGNC:""GH2""),p(HGNC:""LEP""),p(HGNC:""PRL""),p(HGNC:""THPO""))",GH2;GH1;CNTF;CSF3;THPO;CSH2;EPO;CSH1;LEP;PRL,,9606.0
26749,Composite,"composite(p(MGI:""Pde10a""),p(MGI:""Pde11a""),p(MGI:""Pde1a""),p(MGI:""Pde1b""),p(MGI:""Pde1c""),p(MGI:""Pde2a""),p(MGI:""Pde3a""),p(MGI:""Pde3b""))",Pde10a;Pde11a;Pde1b;Pde1c;Pde2a;Pde3b;Pde1a;Pde3a,,10090.0
26750,Composite,"composite(p(MGI:""Gnai1""),p(MGI:""Gnai2""),p(MGI:""Gnai3""))",Gnai2;Gnai1;Gnai3,,10090.0
26751,Composite,"composite(p(FLYBASE:""CG14184""),p(FLYBASE:""CG14812""),p(FLYBASE:""CG14977""),p(FLYBASE:""CG5110""),p(FLYBASE:""CG5189""))",CG14184;CG14812;CG14977;CG5189;CG5110,,7227.0
26752,Composite,"composite(p(HGNC:""DAD1""),p(HGNC:""DDOST""),p(HGNC:""RPN1""),p(HGNC:""RPN2""),p(HGNC:""STT3A""),p(HGNC:""STT3B""),p(HGNC:""TUSC3""))",RPN2;DAD1;TUSC3;RPN1;STT3A;STT3B;DDOST,,9606.0
